,Entretien
532,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - CHANGEMENT D'HUILE,INSPECTER VISUELLEMENT - Programme Entretien Préventif
533,VÉRIFIER - HUILE + FILTRE,VÉRIFIER - Programme Entretien Préventif
534,REMPLACER - LUBRIFICATION,INSPECTER VISUELLEMENT - Programme Entretien Préventif
535,VÉRIFIER - Programme Entretien Préventif,REMPLACER - HUILE + FILTRE
536,VÉRIFIER - Programme Entretien Préventif
537,INSPECTER VISUELLEMENT - Programme Entretien Préventif,VÉRIFIER - COMPRESSEUR,REMPLACER - CHANGEMENT D'HUILE
538,ESSAI  ROUTIER - Programme Entretien Préventif
539,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - CHANGEMENT D'HUILE,VÉRIFIER - COMPRESSEUR,ESSAI  ROUTIER - Programme Entretien Préventif
540,VÉRIFIER - Programme Entretien Préventif
541,REMPLACER - LUBRIFICATION
542,INSPECTER VISUELLEMENT - Programme Entretien Préventif
543,VÉRIFIER - HUILE + FILTRE,VÉRIFIER - Programme Entretien Préventif
544,RÉPARER - CHASSIS PIÈCE CARROSSERIE
545,INSPECTER VISUELLEMENT - Programme Entretien Préventif
546,VÉRIFIER - FILAGE ÉLECTRIQUE
547,MODIFIER - FILAGE ÉLECTRIQUE
548,MODIFIER - FILAGE ÉLECTRIQUE
549,MODIFIER - FILAGE ÉLECTRIQUE,INSTALLER - CHASSIS DÉMAQUILLER / IDENTIFIER CARROSSERIE
550,TOURNER / MACHINER / FABRIQUER - AJUSTEMENT D'USAGE
551,INSTALLER - AJUSTEMENT D'USAGE,MODIFIER - AJUSTEMENT D'USAGE
552,AJUSTER - VANAIR
553,INSTALLER - AJUSTEMENT D'USAGE
554,INSPECTER VISUELLEMENT - Programme Entretien Préventif,VÉRIFIER - GRAISSAGE
555,INSPECTER VISUELLEMENT - Programme Entretien Préventif
556,INSPECTER VISUELLEMENT - Programme Entretien Préventif
557,INSPECTER VISUELLEMENT - Programme Entretien Préventif
558,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - CHANGEMENT D'HUILE
559,INSPECTER VISUELLEMENT - Programme Entretien Préventif
560,VÉRIFIER - Programme Entretien Préventif
561,VÉRIFIER - COMPRESSEUR,INSPECTER VISUELLEMENT - Programme Entretien Préventif,INSPECTER VISUELLEMENT - Programme Entretien Préventif
562,INSPECTER VISUELLEMENT - Programme Entretien Préventif,VÉRIFIER - Programme Entretien Préventif
563,VÉRIFIER - Programme Entretien Préventif,INSPECTER VISUELLEMENT - Programme Entretien Préventif
564,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - LUBRIFICATION,VÉRIFIER - COMPRESSEUR
565,INSTALLER - CHASSIS DÉMAQUILLER / IDENTIFIER CARROSSERIE
566,TOURNER / MACHINER / FABRIQUER - AJUSTEMENT D'USAGE
567,INSPECTER VISUELLEMENT - Programme Entretien Préventif
568,INSPECTER VISUELLEMENT - Programme Entretien Préventif
569,INSPECTER VISUELLEMENT - Programme Entretien Préventif
570,INSPECTER VISUELLEMENT - Programme Entretien Préventif
571,VÉRIFIER - COMPRESSEUR,VÉRIFIER - Programme Entretien Préventif,REMPLACER - HUILE + FILTRE
572,INSPECTER VISUELLEMENT - Programme Entretien Préventif
573,VÉRIFIER - Programme Entretien Préventif,VÉRIFIER - HUILE + FILTRE
574,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - CHANGEMENT D'HUILE,ESSAI  ROUTIER - Programme Entretien Préventif,VÉRIFIER - COMPRESSEUR
575,INSPECTER VISUELLEMENT - Programme Entretien Préventif
576,RÉPARER - COMPRESSEUR
577,INSPECTER VISUELLEMENT - Programme Entretien Préventif
578,VÉRIFIER - COMPRESSEUR,REMPLACER - LUBRIFICATION
579,RÉPARER - COMPRESSEUR
580,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - CHANGEMENT D'HUILE
581,VÉRIFIER - Programme Entretien Préventif
582,REMPLACER - LUBRIFICATION
583,VÉRIFIER - Programme Entretien Préventif,REMPLACER - HUILE + FILTRE
584,INSPECTER VISUELLEMENT - Programme Entretien Préventif
585,INSPECTER VISUELLEMENT - COMPRESSEUR
586,INSPECTER VISUELLEMENT - Programme Entretien Préventif
587,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - LUBRIFICATION
588,INSPECTER VISUELLEMENT - Programme Entretien Préventif
589,REMPLACER - HUILE + FILTRE
590,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - LUBRIFICATION
591,REMPLACER - CHANGEMENT D'HUILE,VÉRIFIER - COMPRESSEUR
592,VÉRIFIER - Programme Entretien Préventif
593,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - HUILE + FILTRE,VÉRIFIER - Programme Entretien Préventif,VÉRIFIER - COMPRESSEUR
594,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - LUBRIFICATION
595,REMPLACER - HUILE + FILTRE,INSPECTER VISUELLEMENT - Programme Entretien Préventif
596,VÉRIFIER - Programme Entretien Préventif
597,VÉRIFIER - HUILE + FILTRE
598,REMPLACER - LUBRIFICATION,INSPECTER VISUELLEMENT - Programme Entretien Préventif
599,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - LUBRIFICATION
600,INSPECTER VISUELLEMENT - Programme Entretien Préventif
601,INSPECTER VISUELLEMENT - VANAIR,REMPLACER - CHANGEMENT D'HUILE,INSPECTER VISUELLEMENT - Programme Entretien Préventif
602,REMPLACER - CHANGEMENT D'HUILE,INSPECTER VISUELLEMENT - Programme Entretien Préventif,INSPECTER VISUELLEMENT - COMPRESSEUR
603,REMPLACER - HUILE + FILTRE,VÉRIFIER - Programme Entretien Préventif,INSPECTER VISUELLEMENT - Programme Entretien Préventif,INSPECTER VISUELLEMENT - COMPRESSEUR
604,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - CHANGEMENT D'HUILE
605,REMPLACER - LUBRIFICATION,INSPECTER VISUELLEMENT - Programme Entretien Préventif
606,INSPECTER VISUELLEMENT - Programme Entretien Préventif
607,REMPLACER - HUILE + FILTRE
608,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - CHANGEMENT D'HUILE
609,INSPECTER VISUELLEMENT - Programme Entretien Préventif
610,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - CHANGEMENT D'HUILE
611,INSPECTER VISUELLEMENT - COMPRESSEUR
612,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - LUBRIFICATION
613,INSPECTER VISUELLEMENT - COMPRESSEUR
614,VÉRIFIER - Programme Entretien Préventif,REMPLACER - HUILE + FILTRE
615,REMPLACER - CHANGEMENT D'HUILE,INSPECTER VISUELLEMENT - Programme Entretien Préventif,VÉRIFIER - COMPRESSEUR
616,REMPLACER - CHANGEMENT D'HUILE,INSPECTER VISUELLEMENT - Programme Entretien Préventif
617,INSPECTER VISUELLEMENT - Programme Entretien Préventif
618,VÉRIFIER - HUILE + FILTRE,VÉRIFIER - Programme Entretien Préventif
619,REMPLACER - CHANGEMENT D'HUILE,INSPECTER VISUELLEMENT - Programme Entretien Préventif
620,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - CHANGEMENT D'HUILE
621,INSPECTER VISUELLEMENT - Programme Entretien Préventif
622,INSPECTER VISUELLEMENT - COMPRESSEUR,REMPLACER - CHANGEMENT D'HUILE
623,VÉRIFIER - Programme Entretien Préventif,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - HUILE + FILTRE,INSPECTER VISUELLEMENT - COMPRESSEUR
624,INSPECTER VISUELLEMENT - Programme Entretien Préventif,REMPLACER - HUILE + FILTRE,INSPECTER VISUELLEMENT - Programme Entretien Préventif,INSPECTER VISUELLEMENT - Programme Entretien Préventif
625,INSPECTER VISUELLEMENT - Programme Entretien Préventif
626,VÉRIFIER - Programme Entretien Préventif,REMPLACER - HUILE + FILTRE
627,REMPLACER - CHANGEMENT D'HUILE,INSPECTER VISUELLEMENT - Programme Entretien Préventif
628,VÉRIFIER - COMPRESSEUR,REMPLACER - HUILE + FILTRE,INSPECTER VISUELLEMENT - Programme Entretien Préventif
629,MODIFIER - FILAGE ÉLECTRIQUE,MODIFIER - FILAGE ÉLECTRIQUE
630,RECHERCHER PANNE (diagnostic) - TRANSMISSION TRANSMISSION AUTOMATIQUE BOÎTE DE TRANSFERT
631,REMPLACER - POULIE FOLLE
632,REMPLACER - AJUSTEMENT D'USAGE
633,VÉRIFIER - BATTERIE
634,VÉRIFIER - COMPRESSEUR
635,VÉRIFIER - COMPOSANTE MAJEURE DU MOTEUR
636,RECHERCHER PANNE (diagnostic) - COMPOSANTE MAJEURE DU MOTEUR
637,RÉPARER - AJUSTEMENT D'USAGE,RÉPARER - AJUSTEMENT D'USAGE
638,REMPLACER - COMPOSANTE MAJEURE DU MOTEUR,RÉPARER - INSTRUMENT TABLEAU DE BORD (Gauge dash),VÉRIFIER - COMPOSANTE MAJEURE DU MOTEUR
639,VÉRIFIER - RÉSERVOIR À AIR
640,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
641,RÉPARER - VANAIR,RECHERCHER PANNE (diagnostic) - CARBURANT+ FILTRE
642,RÉPARER - CHASSIS PIÈCE CARROSSERIE,RÉPARER - CHASSIS PIÈCE CARROSSERIE
643,RÉPARER - CHASSIS PIÈCE CARROSSERIE,RÉPARER - FLÈCHE SIGNALÉTIQUE
644,VÉRIFIER - Programme Entretien Préventif
645,INSTALLER - AJUSTEMENT D'USAGE
646,VÉRIFIER - FILAGE ÉLECTRIQUE
647,VÉRIFIER - FILAGE ÉLECTRIQUE
648,TOURNER / MACHINER / FABRIQUER - AJUSTEMENT D'USAGE
649,REMPLACER - FILAGE ÉLECTRIQUE
650,RÉPARER - CHASSIS PIÈCE CARROSSERIE
651,REMPLACER - COLLET,AJUSTER - AJUSTEMENT D'USAGE,AJUSTER - PNEU ROULEMENT DE ROUE (bearing de roue) ROUE,INSTALLER - RÉFLECTEUR
652,RÉPARER - LUMIÈRE DE JOUR (Day running light),MODIFIER - AJUSTEMENT D'USAGE,RÉPARER - LUMIÈRE DE JOUR (Day running light),INSTALLER - CHASSIS PIÈCE CARROSSERIE,REMPLACER - INSTRUMENT TABLEAU DE BORD (Gauge dash),REMPLACER - CHASSIS PIÈCE CARROSSERIE,RÉPARER - COLLET
653,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE,RÉPARER - AJUSTEMENT D'USAGE
654,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
655,RECHERCHER PANNE (diagnostic) - VANAIR,RECHERCHER PANNE (diagnostic) - ALTERNATEUR
656,PEINTURER - CHASSIS FINITION PEINTURE CARROSSERIE,PEINTURER - CHASSIS FINITION PEINTURE CARROSSERIE
657,REMPLACER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
658,VÉRIFIER - COMPRESSEUR
659,RÉPARER - AJUSTEMENT D'USAGE
660,RECHERCHER PANNE (diagnostic) - COMPOSANTE MAJEURE DU MOTEUR
661,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
662,RÉPARER - Programme Entretien Préventif
663,VÉRIFIER - BOYAUX À AIR
664,RÉPARER - FABRIQUE SYSTÈME ÉLECTRIQUE,RÉPARER - FILAGE ÉLECTRIQUE
665,INSTALLER - AJUSTEMENT D'USAGE
666,TOURNER / MACHINER / FABRIQUER - AJUSTEMENT D'USAGE
667,MODIFIER - COMPRESSEUR
668,REMPLACER - CAPTEUR
669,INSPECTER VISUELLEMENT - Programme Entretien Préventif,INSTALLER - VANAIR
670,MODIFIER - BATTERIE
671,VÉRIFIER - BATTERIE
672,REMPLACER - PNEU PNEU ROUE,VÉRIFIER - BOÎTIER DE DIRECTION ( Steering box),VÉRIFIER - FUITE HUILE,VÉRIFIER - HUILE + FILTRE
673,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
674,VÉRIFIER - POMPE HYDRAULIQUE SYSTÈME ASSISTÉ
675,RÉPARER - AJUSTEMENT D'USAGE
676,RÉPARER - CHASSIS PIÈCE CARROSSERIE
677,RÉPARER - CHASSIS PIÈCE CARROSSERIE
678,REMPLACER - AIR DRYER,REMPLACER - CHASSIS PIÈCE CARROSSERIE,RÉPARER - LUMIÈRE DE JOUR (Day running light),REMPLACER - RÉCEPTEUR (Booster)
679,REMPLACER - ESSUIE-GLACE
680,RECHERCHER PANNE (diagnostic) - CODE DÉFAUT TABLEAU DE BORD (Fault code)
681,REMPLACER - SYSTÈME ESSUIE-GLACE ET LAVE VITRE
682,REMPLACER - INJECTEUR
683,TOURNER / MACHINER / FABRIQUER - AJUSTEMENT D'USAGE,RÉPARER - FLÈCHE SIGNALÉTIQUE
684,RECHERCHER PANNE (diagnostic) - COMPOSANTE MAJEURE DU MOTEUR
685,VÉRIFIER - Programme Entretien Préventif
686,VÉRIFIER - CARBURANT+ FILTRE
687,RÉPARER - AJUSTEMENT D'USAGE
688,RÉPARER - AJUSTEMENT D'USAGE,RÉPARER - AJUSTEMENT D'USAGE
689,RECHERCHER PANNE (diagnostic) - COMPRESSEUR
690,RÉPARER - AJUSTEMENT D'USAGE
691,RÉPARER - REFROIDISSEMENT HUILE
692,RÉPARER - FILAGE ÉLECTRIQUE,AJUSTER - RÉGLEUR (Slack ajuster),RÉPARER - FILAGE ÉLECTRIQUE
693,REMPLACER - AIR DRYER,RÉPARER - FILAGE ÉLECTRIQUE,RÉPARER - ESPAR,RÉPARER - FILAGE ÉLECTRIQUE,REMPLACER - RÉSERVOIR À AIR
694,REMPLACER - CHASSIS PIÈCE CARROSSERIE,REMPLACER - CHASSIS PIÈCE CARROSSERIE
695,RECHERCHER PANNE (diagnostic) - COMPOSANTE MAJEURE DU MOTEUR
696,VÉRIFIER - CODE DÉFAUT MOTEUR (Fault code)
697,AJUSTER - PNEU ROULEMENT DE ROUE (bearing de roue) ROUE
698,RÉPARER - VALVE DE SUSPENSION
699,VÉRIFIER - VANAIR
700,VÉRIFIER - COMPRESSEUR À AIR,RÉPARER - LUMIÈRE DE JOUR (Day running light),RÉPARER - FILAGE ÉLECTRIQUE
701,RECHERCHER PANNE (diagnostic) - COMPOSANTE MAJEURE DU MOTEUR
702,MODIFIER - AJUSTEMENT D'USAGE
703,RÉPARER - COMPRESSEUR
704,RÉPARER - FILAGE ÉLECTRIQUE
705,MODIFIER - AJUSTEMENT D'USAGE
706,MODIFIER - AJUSTEMENT D'USAGE,MODIFIER - AJUSTEMENT D'USAGE
707,MODIFIER - AJUSTEMENT D'USAGE
708,REMPLACER - HUILE + FILTRE,NETTOYER / LAVER - Programme Entretien Préventif
709,VÉRIFIER - FILAGE ÉLECTRIQUE,REMPLACER - HUILE + FILTRE,VÉRIFIER - AMORTISSEUR,NETTOYER / LAVER - BATTERIE
710,NETTOYER / LAVER - CHASSIS FINITION PEINTURE CARROSSERIE
711,RÉPARER - CHASSIS PIÈCE CARROSSERIE,RECHERCHER PANNE (diagnostic) - VANAIR
712,RÉPARER - TUYAUX
713,MODIFIER - AJUSTEMENT D'USAGE,INSTALLER - CHASSIS PIÈCE CARROSSERIE
714,REMPLACER - BATTERIE
715,RÉPARER - AJUSTEMENT D'USAGE
716,REMPLACER - ESSUIE-GLACE,REMPLACER - TUYAUX,RÉPARER - COMPRESSEUR,REMPLACER - RÉGLEUR (Slack ajuster)
717,REMPLACER - AJUSTEMENT D'USAGE
718,REMPLACER - INSTRUMENT TABLEAU DE BORD (Gauge dash),AJUSTER - INSTRUMENT TABLEAU DE BORD (Gauge dash)
719,REMPLACER - CHAUFFAGE FILTRE A/C SYSTÈME DE CLIMATISATION,REMPLACER - CHAUFFAGE RADIATEUR DE CHAUFFERETTE SYSTÈME DE CLIMATISATION,REMPLACER - AIR DRYER,VÉRIFIER - BATTERIE,RÉPARER - PNEU PNEU ROUE,REMPLACER - COLLET
720,REMPLACER - CHASSIS PIÈCE CARROSSERIE
721,MODIFIER - COMPRESSEUR
722,RÉPARER - AIR DRYER,RÉPARER - COMPRESSEUR
723,RÉPARER - AJUSTEMENT D'USAGE
724,REMPLACER - TUYAUX,RÉPARER - FILAGE ÉLECTRIQUE,RÉPARER - FILAGE ÉLECTRIQUE,REMPLACER - ESSUIE-GLACE
725,REMPLACER - AIR DRYER,RÉPARER - FILAGE ÉLECTRIQUE
726,AJUSTER - TRANSMISSION TRANSMISSION AUTOMATIQUE BOÎTE DE TRANSFERT,INSTALLER - PNEU PNEU ROUE,REMPLACER - CHASSIS PIÈCE CARROSSERIE
727,AJUSTER - BOYAUX À AIR,REMPLACER - BALLON DE SUSPENSION,REMPLACER - BATTERIE
728,REMPLACER - COMPRESSEUR,INSTALLER - AJUSTEMENT D'USAGE,INSTALLER - RÉFLECTEUR,AJUSTER - AJUSTEMENT D'USAGE,RÉPARER - AJUSTEMENT D'USAGE,AJUSTER - CHASSIS PIÈCE CARROSSERIE,VÉRIFIER - COMPRESSEUR
729,AJUSTER - COMPRESSEUR
730,RÉPARER - CHASSIS PIÈCE CARROSSERIE
731,RECHERCHER PANNE (diagnostic) - COMPOSANTE MAJEURE DU MOTEUR
732,SOUDER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
733,RÉPARER - AJUSTEMENT D'USAGE
734,VÉRIFIER - FILAGE ÉLECTRIQUE
735,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
736,VÉRIFIER - COMPRESSEUR
737,RÉPARER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
738,VÉRIFIER - VANAIR
739,AJUSTER - HUILE + FILTRE,AJUSTER - LIQUIDE REFROIDISSEMENT (entret.)+FILTRE,AJUSTER - BATTERIE,RÉPARER - Programme Entretien Préventif
740,REMPLACER - CHASSIS PIÈCE CARROSSERIE,RÉPARER - CHASSIS PIÈCE CARROSSERIE
741,INSPECTER VISUELLEMENT - INSPECTION À L'INTERNE
742,RÉPARER - AJUSTEMENT D'USAGE
743,PEINTURER - CHASSIS RÉPARATION / DÉBOSSELAGE CARROSSERIE
744,REMPLACER - FLÈCHE SIGNALÉTIQUE,RÉPARER - GYROPHARE
745,REMPLACER - COMPRESSEUR
746,VÉRIFIER - FILAGE ÉLECTRIQUE
747,MODIFIER - POMPE À INJECTION
748,RÉPARER - CHAUFFAGE GAZ RÉFRIGÉRANT A/C SYSTÈME DE CLIMATISATION
749,REMPLACER - TENSIONNEUR
750,TOURNER / MACHINER / FABRIQUER - AJUSTEMENT D'USAGE
751,RÉPARER - AJUSTEMENT D'USAGE
752,RÉPARER - COMPRESSEUR
753,INSTALLER - CHASSIS DÉMAQUILLER / IDENTIFIER CARROSSERIE
754,RÉPARER - CARBURANT+ FILTRE
755,RÉPARER - COMPRESSEUR,REMPLACER - GYROPHARE
756,VÉRIFIER - ALTERNATEUR
757,RÉPARER - AJUSTEMENT D'USAGE
